NAMESPACE            NAME                                                READY   STATUS      RESTARTS        AGE     IP                NODE                     NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-67bd5b55cc-fhqv2                       1/1     Running     0               3h29m   fd00:42:0:3::2    trans-service-worker-1   <none>           <none>
cert-manager         cert-manager-cainjector-d87ffb78f-4lvk9             1/1     Running     0               3h29m   fd00:42:0:1::2    trans-service-worker-2   <none>           <none>
cert-manager         cert-manager-webhook-5548dcfb4d-9jgqr               1/1     Running     0               3h29m   fd00:42:0:1::3    trans-service-worker-2   <none>           <none>
default              analytics-api-5c6bb47f54-6dct7                      1/1     Running     0               41m     fd00:42:0:3::63   trans-service-worker-1   <none>           <none>
default              analytics-api-5c6bb47f54-bjqjf                      1/1     Running     0               41m     fd00:42:0:1::23   trans-service-worker-2   <none>           <none>
default              analytics-db-0                                      1/1     Running     0               3h9m    fd00:42:0:3::17   trans-service-worker-1   <none>           <none>
default              registry-dbbbfc869-nrprh                            1/1     Running     0               3h27m   fd00:42:0:3::8    trans-service-worker-1   <none>           <none>
default              spark-streaming-job-759bcd9454-2bmfg                1/1     Running     1 (40m ago)     118m    fd00:42:0:3::57   trans-service-worker-1   <none>           <none>
default              spark-streaming-job-exec-1                          1/1     Running     0               40m     fd00:42::6a       trans-service-master     <none>           <none>
default              spark-streaming-job-exec-2                          1/1     Running     0               40m     fd00:42:0:3::64   trans-service-worker-1   <none>           <none>
default              spark-streaming-job-exec-3                          1/1     Running     0               40m     fd00:42::6b       trans-service-master     <none>           <none>
default              spark-streaming-job-exec-4                          1/1     Running     0               40m     fd00:42:0:3::65   trans-service-worker-1   <none>           <none>
default              strimzi-cluster-operator-57b47c8c7f-h8l6z           1/1     Running     0               3h21m   fd00:42::13       trans-service-master     <none>           <none>
default              translation-api-5658f5f78d-4lrjp                    1/1     Running     0               62m     fd00:42:0:3::60   trans-service-worker-1   <none>           <none>
default              translation-api-5658f5f78d-qjvsj                    1/1     Running     0               62m     fd00:42:0:1::1f   trans-service-worker-2   <none>           <none>
default              translation-api-5658f5f78d-rdb9b                    1/1     Running     0               63m     fd00:42:0:1::1e   trans-service-worker-2   <none>           <none>
default              translation-kafka-entity-operator-569c48fcb-nj6tv   2/2     Running     0               3h8m    fd00:42::19       trans-service-master     <none>           <none>
default              translation-kafka-main-0                            1/1     Running     0               3h9m    fd00:42:0:3::16   trans-service-worker-1   <none>           <none>
default              translation-kafka-main-1                            1/1     Running     0               3h9m    fd00:42:0:1::15   trans-service-worker-2   <none>           <none>
default              translation-kafka-main-2                            1/1     Running     0               3h9m    fd00:42::18       trans-service-master     <none>           <none>
default              translation-llm-0                                   1/1     Running     0               42m     fd00:42:0:3::62   trans-service-worker-1   <none>           <none>
default              translation-llm-1                                   1/1     Running     0               42m     fd00:42:0:1::21   trans-service-worker-2   <none>           <none>
default              translation-llm-2                                   1/1     Running     0               43m     fd00:42::69       trans-service-master     <none>           <none>
default              web-ui-bf457bfdd-9lqkc                              1/1     Running     0               118m    fd00:42::5e       trans-service-master     <none>           <none>
default              web-ui-bf457bfdd-chhbf                              1/1     Running     0               3h9m    fd00:42:0:1::13   trans-service-worker-2   <none>           <none>
external-dns         external-dns-7568c59799-xzvh6                       1/1     Running     0               3h28m   fd00:42::8        trans-service-master     <none>           <none>
